sample_index,strategy,model,true_defect,defect_score
1397,median_all,logistic_regression,0,0.9999999998154494
457,median_all,logistic_regression,0,0.9999999756448567
17,median_all,logistic_regression,0,0.999999871526514
1123,median_all,logistic_regression,0,0.9999995232515991
27,median_all,logistic_regression,0,0.9999912414149721
587,median_all,logistic_regression,0,0.9999822464332688
709,median_all,logistic_regression,1,0.9999796646568577
1242,median_all,logistic_regression,1,0.9999700953808589
15,median_all,logistic_regression,0,0.9999485615455559
216,median_all,logistic_regression,0,0.9996827180138468
269,median_all,logistic_regression,0,0.9989721512836776
180,median_all,logistic_regression,1,0.9989270613266891
1137,median_all,logistic_regression,0,0.9984357042877401
165,median_all,logistic_regression,0,0.9983312925576182
209,median_all,logistic_regression,0,0.9970527608687901
1364,median_all,logistic_regression,1,0.9962625932095752
1208,median_all,logistic_regression,0,0.9953009297790214
518,median_all,logistic_regression,1,0.9952603331071076
5,median_all,logistic_regression,0,0.9951260750288364
489,median_all,logistic_regression,0,0.9931797380507509
110,median_all,logistic_regression,0,0.9908919181560426
1225,median_all,logistic_regression,0,0.9896261793249336
282,median_all,logistic_regression,1,0.9889755909222351
1033,median_all,logistic_regression,0,0.9855699560180866
809,median_all,logistic_regression,0,0.9821621415199328
273,median_all,logistic_regression,1,0.9763375731678849
1315,median_all,logistic_regression,0,0.9745167938804803
18,median_all,logistic_regression,0,0.9667901286603477
187,median_all,logistic_regression,0,0.9528702437997906
929,median_all,logistic_regression,1,0.9514049712310751
1092,median_all,logistic_regression,0,0.9504973626302848
1032,median_all,logistic_regression,0,0.9413852300618002
515,median_all,logistic_regression,0,0.9406227111288621
1396,median_all,logistic_regression,0,0.9231454325101626
326,median_all,logistic_regression,1,0.9226833220930525
1294,median_all,logistic_regression,0,0.8742559898177874
1156,median_all,logistic_regression,0,0.8627668941071386
465,median_all,logistic_regression,0,0.861433793259107
1385,median_all,logistic_regression,0,0.8452902903110057
872,median_all,logistic_regression,0,0.837224341601836
1344,median_all,logistic_regression,0,0.8317793396303333
1122,median_all,logistic_regression,0,0.8081310059412441
576,median_all,logistic_regression,1,0.7865737346713533
68,median_all,logistic_regression,0,0.7317064064972895
301,median_all,logistic_regression,0,0.725402272339706
1117,median_all,logistic_regression,0,0.7173016998705933
1254,median_all,logistic_regression,1,0.7120003299712765
1191,median_all,logistic_regression,0,0.6793018688365837
1309,median_all,logistic_regression,0,0.6627409399618188
628,median_all,logistic_regression,0,0.6316937152958809
846,median_all,logistic_regression,0,0.6233926425666881
336,median_all,logistic_regression,1,0.6222838293489548
839,median_all,logistic_regression,0,0.5988444972773593
460,median_all,logistic_regression,0,0.5869792456383783
550,median_all,logistic_regression,0,0.5855859146001049
1116,median_all,logistic_regression,0,0.5825307389504775
786,median_all,logistic_regression,0,0.580120479558112
978,median_all,logistic_regression,0,0.5465481965274915
763,median_all,logistic_regression,0,0.5425501079374683
1411,median_all,logistic_regression,0,0.5400660067232674
65,median_all,logistic_regression,0,0.5106722267942017
1218,median_all,logistic_regression,0,0.5024506513129896
170,median_all,logistic_regression,0,0.458667179053983
535,median_all,logistic_regression,0,0.45111568150183173
325,median_all,logistic_regression,0,0.445592298218807
312,median_all,logistic_regression,0,0.43985141555251384
364,median_all,logistic_regression,0,0.42391863379263306
20,median_all,logistic_regression,0,0.4070261024816815
51,median_all,logistic_regression,0,0.39692442563471836
1249,median_all,logistic_regression,0,0.3772608408194745
177,median_all,logistic_regression,0,0.37469273786367185
21,median_all,logistic_regression,0,0.3573063419169763
425,median_all,logistic_regression,0,0.34480517206443706
434,median_all,logistic_regression,0,0.3402030079377501
1563,median_all,logistic_regression,0,0.33439021512189765
1049,median_all,logistic_regression,0,0.332938743716948
579,median_all,logistic_regression,0,0.3310878847469788
424,median_all,logistic_regression,1,0.3236917200712863
153,median_all,logistic_regression,0,0.3214317864221279
306,median_all,logistic_regression,0,0.316375532801395
1027,median_all,logistic_regression,0,0.31205779221388674
345,median_all,logistic_regression,0,0.3081480781467371
1005,median_all,logistic_regression,0,0.2801930393139445
720,median_all,logistic_regression,0,0.2798847393163794
1272,median_all,logistic_regression,0,0.2796643050861745
1328,median_all,logistic_regression,1,0.25216399398338324
973,median_all,logistic_regression,0,0.25209750430608496
820,median_all,logistic_regression,0,0.2501123988151354
1295,median_all,logistic_regression,0,0.2418462663789674
444,median_all,logistic_regression,0,0.2298615459847889
1097,median_all,logistic_regression,0,0.2272185086855082
766,median_all,logistic_regression,0,0.21538495928912768
135,median_all,logistic_regression,0,0.20161914241496703
1080,median_all,logistic_regression,0,0.20154641426374326
572,median_all,logistic_regression,0,0.19323034286958488
1283,median_all,logistic_regression,0,0.17696372466336563
689,median_all,logistic_regression,0,0.1762395562964733
1166,median_all,logistic_regression,0,0.16473935136439727
1070,median_all,logistic_regression,0,0.16081609954988713
770,median_all,logistic_regression,0,0.15806792989584192
176,median_all,logistic_regression,0,0.14629751080156345
392,median_all,logistic_regression,1,0.14570304884317747
238,median_all,logistic_regression,1,0.14184434126790046
26,median_all,logistic_regression,0,0.1407577208986073
411,median_all,logistic_regression,0,0.13804842969382825
233,median_all,logistic_regression,0,0.13791576976941092
1367,median_all,logistic_regression,0,0.13291439620268564
1189,median_all,logistic_regression,1,0.13189702019704794
9,median_all,logistic_regression,0,0.1273796411815033
828,median_all,logistic_regression,0,0.12432523894728463
725,median_all,logistic_regression,0,0.12128570944373053
